"","Nama.Produk","Nama.Prosesor","Nama.GPU","Harga","Gambar","Berat","Kipas","Backlight.Keyboard","Volume","Lebar","Ketinggian","Ketebalan","Ukuran.Layar","Resolusi","Kerapatan.Piksel","Jenis.Layar","Layar.Sentuh","Anti.Pantul","RAM","Kecepatan.RAM","Penyimpanan.Flash","Penyimpanan.Internal","Kecepatan.CPU","Thread.CPU","SSD.NVME","HDMI","USB.Daya","Adaptor.Magsafe","Suara.Stereo","Konektor.Suara.3,5mm","Dolby.Atmos","Stylus","Pemindai.Sidikjari","Jumlah.Mikrofon","Pengenal.Wajah.3D"
"623","Samsung Galaxy Book Flex2 Alpha 13.3""","Intel Core i7-1165G7 2.8GHz","Integrated",1000,"https://images.versus.io/objects/samsung-galaxy-book-flex2-alpha-13-3-intel-core-i7-1165g7-2-8ghz-16gb-ram-512gb-ssd.front.master.1620409035226.jpg",1.19,0,1,855.393,304.8,201.9,13.9,13.3,"1920 x 1080px",166,"LED-backlit, LCD",1,0,16,4267,1,512,"4 x 2.8GHz",8,0,1,1,0,1,1,0,0,1,2,0
"624","Samsung Galaxy Book Pro 360 15","Intel Core i7-1165G7 2.8GHz","Integrated",798,"https://images.versus.io/objects/samsung-galaxy-book-pro-360-15-intel-core-i7-1165g7-2-8ghz-16gb-ram-1tb-ssd.front.master.1619807341877.jpg",1.39,0,1,963.073,354.8,228.1,11.9,15.6,"1920 x 1080px",141,"OLED/AMOLED",1,0,16,4267,1,1000,"4 x 2.8GHz",8,1,0,1,0,1,1,0,1,1,2,0
"625","Samsung Galaxy Book Flex2 Alpha 13.3""","Intel Core i5-1135G7 2.4GHz","Integrated",1000,"https://images.versus.io/objects/samsung-galaxy-book-flex2-alpha-13-3-intel-core-i5-1135g7-2-4ghz-8gb-ram-256gb-ssd.front.master.1620410130260.jpg",1.19,0,1,855.393,304.8,201.9,13.9,13.3,"1920 x 1080px",166,"LED-backlit, LCD",1,0,8,4267,1,256,"4 x 2.4GHz",8,0,1,1,0,1,1,0,0,1,2,0
"626","Acer ConceptD 3 CN316-73G-733T 16""","Intel Core i7-11800H 2.3GHz","Nvidia GeForce RTX 3050 Ti Laptop ",1300,"https://images.versus.io/objects/acer-conceptd-3-cn316-73g-733t-16-intel-core-i7-11800h-2-3ghz-nvidia-geforce-rtx-3050-ti-laptop-16gb-ram-1tb-ssd.front.master.1696605158220.jpg",1.7,0,1,1864.463,358,248,21,16,"1920 x 1200px",141,"LCD, LED-backlit",0,0,16,3200,1,1024,"8 x 2.3GHz",16,1,1,0,0,1,1,0,0,1,1,0
"627","Lenovo LOQ 15IRH8 15.6""","Intel Core i5-13500H 2.6GHz","Nvidia GeForce RTX 3050 Laptop ",800,"https://images.versus.io/objects/lenovo-loq-15irh8-15-6-intel-core-i5-13500h-2-6ghz-nvidia-geforce-rtx-3050-laptop-16gb-ram-1tb-ssd.front.master.1680885172369.jpg",2.4,0,1,2369.43,359,264,25,15,"1920 x 1080px",146,"LED-backlit, IPS",0,1,16,5200,1,1024,"4 x 2.6GHz & 8 x 1.9GHz",16,1,1,0,0,1,1,0,0,0,1,0
"628","MSI Summit E14 Evo A12M-026 14"" FHD+","Intel Core i5-1240P 1.2GHz","Integrated",2695,"https://images.versus.io/objects/msi-summit-e14-evo-a12m-026-14-fhd-intel-core-i5-1240p-1-2ghz-16gb-ram-512gb-ssd.front.master.1666786144668.jpg",2.54,0,1,1047.913,319,219,15,14,"1920 x 1200px",161,"LED-backlit, LCD",0,0,16,4800,1,512,"4 x 1.7GHz & 8 x 1.2GHz",16,1,1,1,0,1,1,0,1,0,1,1
"629","Asus ROG Flow Z13 (2022) GZ301 13.4""","Intel Core i9-12900H 2.5GHz","Nvidia GeForce RTX 3050 Ti Laptop ",1080,"https://images.versus.io/objects/asus-rog-flow-z13-2022-gz301-13-4-intel-core-i9-12900h-2-5ghz-nvidia-geforce-rtx-3050-ti-laptop-16gb-ram-1tb-ssd.front.master.1663322867875.jpg",1.18,0,1,739.33,302,204,12,13.4,"3840 x 2400px",337,"IPS, LCD, LED-backlit",1,1,16,5200,1,1024,"6 x 2.5GHz & 8 x 1.8GHz",20,1,0,1,0,1,1,0,0,1,3,0
"630","MSI Prestige 15 A12SC-011 15.6"" FHD","Intel Core i5-1240P 1.2GHz","Nvidia GeForce GTX 1650 Laptop ",1086,"https://images.versus.io/objects/msi-prestige-15-a12sc-011-15-6-fhd-intel-core-i5-1240p-1-2ghz-nvidia-geforce-gtx-1650-laptop-16gb-ram-2tb-ssd-2tb-ssd.front.master.1665749792826.jpg",2.5,0,1,1493.063,356,233,18,15.6,"1920 x 1080px",141,"IPS, LCD, LED-backlit",0,0,16,4267,1,2048,"4 x 1.7GHz & 8 x 1.2GHz",16,1,1,1,0,1,1,0,0,0,1,0
"631","Acer Nitro 5 AN517-55-56G1 17.3""","Intel Core i5-12500H 2.5GHz","Nvidia GeForce RTX 3050 Laptop ",970,"https://images.versus.io/objects/acer-nitro-5-an517-55-56g1-17-3-intel-core-i5-12500h-2-5ghz-nvidia-geforce-rtx-3050-laptop-8gb-ram-512gb-ssd.front.master.1664886311702.jpg",3,0,1,3183.143,401,294,27,17.3,"1920 x 1080px",127,"LED-backlit, LCD",0,0,8,5200,1,512,"4 x 2.5GHz & 8 x 1.8GHz",16,1,1,1,0,1,1,0,0,0,1,0
"632","Dell XPS 17 9720","Intel Core i5-12500H 2.5GHz","Integrated",1699,"https://images.versus.io/objects/dell-xps-17-9720-intel-core-i5-12500h-2-5ghz-8gb-ram-512gb-ssd.front.master.1649072418287.jpg",2.57,0,1,1811.813,374.5,248.1,19.5,17,"1920 x 1200px",133,"LED-backlit, LCD",0,1,8,5200,1,512,"4 x 2.5GHz & 8 x 1.8GHz",16,0,0,1,0,1,1,0,0,1,2,1
"633","Dell Inspiron 14 7415 2-in-1 14""","AMD Ryzen 7 5700U 1.8GHz","Integrated",591,"https://images.versus.io/objects/dell-inspiron-14-7415-2-in-1-14-amd-ryzen-7-5700u-1-8ghz-16gb-ram-512gb-ssd.front.master.1655999029090.jpg",1.56,0,1,1219.163,321,211,18,14,"1920 x 1080px",157,"IPS, LCD, LED-backlit",1,0,16,3200,0,512,"8 x 1.8GHz",16,1,1,0,0,1,1,0,0,1,2,0
"634","Dell XPS 15 9520","Intel Core i5-12500H 2.5GHz","Integrated",989,"https://images.versus.io/objects/dell-xps-15-9520-intel-core-i5-12500h-2-5ghz-8gb-ram-512gb-ssd.front.master.1649075025514.jpg",1.92,0,1,1466.063,344.4,230.1,18.5,15.6,"1920 x 1200px",145,"LED-backlit, LCD",0,1,8,5200,1,512,"4 x 2.5GHz & 8 x 1.8GHz",16,0,0,1,0,1,1,0,0,1,2,0
"635","Dell XPS 17 9720","Intel Core i7-12700H 2.3GHz","Nvidia GeForce RTX 3050 Laptop ",2195,"https://images.versus.io/objects/dell-xps-17-9720-intel-core-i7-12700h-2-3ghz-nvidia-geforce-rtx-3050-laptop-16gb-ram-512gb-ssd.front.master.1649072269726.jpg",2.57,0,1,1811.813,374.5,248.1,19.5,17,"1920 x 1200px",133,"LED-backlit, LCD",0,1,16,5200,1,512,"6 x 2.3GHz & 8 x 1.7GHz",20,0,0,1,0,1,1,0,0,1,2,1
