"","Nama.Produk","Nama.Prosesor","Nama.GPU","Harga","Gambar","Berat","Kipas","Backlight.Keyboard","Volume","Lebar","Ketinggian","Ketebalan","Ukuran.Layar","Resolusi","Kerapatan.Piksel","Jenis.Layar","Layar.Sentuh","Anti.Pantul","RAM","Kecepatan.RAM","Penyimpanan.Flash","Penyimpanan.Internal","Kecepatan.CPU","Thread.CPU","SSD.NVME","HDMI","USB.Daya","Adaptor.Magsafe","Suara.Stereo","Konektor.Suara.3,5mm","Dolby.Atmos","Stylus","Pemindai.Sidikjari","Jumlah.Mikrofon","Pengenal.Wajah.3D"
"947","Microsoft Surface Laptop 2 13.5""","Intel Core-i7 8650U 1.9GHz","Integrated",-0.913793851675568,"https://images.versus.io/objects/microsoft-surface-laptop-2-13-5-intel-core-i7-8650u-1-9ghz-16gb-ram-1tb-ssd.front.master.1576684641045.jpg",0.246860077931526,0,1,6.90382054807148,30.81,4.72514550040525,0.370183293963525,3.38082830087539,"2256 x 1504px",1.66833019377893,"LCD",1,0,2.77258872223978,7.78322401633604,1,6.90775527898214,"4 x 1.9GHz",2.07944154167984,0,0,0,0,1,1,0,0,0,2,1
"949","Microsoft Surface Laptop 2 13.5""","Intel Core-i5 8250U 1.6GHz","Integrated",-0.510825623765991,"https://images.versus.io/objects/microsoft-surface-laptop-2-13-5-intel-core-i5-8250u-1-6ghz-8gb-ram-256gb-ssd.front.master.1576684641045.jpg",0.22314355131421,0,1,6.90382054807148,30.81,4.72514550040525,0.370183293963525,3.38082830087539,"2256 x 1504px",1.66833019377893,"LED-backlit, LCD",1,0,2.07944154167984,7.78322401633604,1,5.54517744447956,"4 x 1.6GHz",2.07944154167984,0,0,1,0,1,1,0,0,0,2,1
"950","Infinix InBook X1 14""","Intel Core i5-1035G1 1GHz","Integrated",-0.430782916092454,"https://images.versus.io/objects/infinix-inbook-x1-14-intel-core-i5-1035g1-1ghz-8gb-ram-512gb-ssd.front.master.1687349267314.jpg",0.392042087776024,0,1,7.03155837985099,32.3,4.67974358271904,0.470003629245736,3.18747549010185,"1920 x 1080px",1.62062427222695,"IPS",0,0,2.07944154167984,8.07090608878782,1,6.23832462503951,"4 x 1GHz",2.07944154167984,1,1,1,0,1,1,0,0,0,1,0
"951","Infinix InBook Y1 Plus 15.6""","Intel Core i3-1005G1 1.2GHz","Integrated",-0.869884359059999,"https://images.versus.io/objects/infinix-inbook-y1-plus-15-6-intel-core-i3-1005g1-1-2ghz-8gb-ram-512gb-ssd.front.master.1687366207851.jpg",0.56531380905006,0,1,7.32273696051798,35.8,4.84767985741633,0.587786664902119,2.46900789792176,"1920 x 1080px",1.59913701799709,"IPS",0,1,2.07944154167984,8.22496747891458,1,6.23832462503951,"2 x 1.2GHz",1.38629436111989,1,1,1,0,1,1,0,0,0,1,0
"952","Lenovo ThinkPad P1 15.6"" FHD","Intel Core i7-8750H 2.2GHz","Integrated",-0.994252273343867,"https://images.versus.io/objects/lenovo-thinkpad-p1-15-6-fhd-intel-core-i7-8750h-2-2ghz-16gb-ram-512gb-ssd.front.master.1579990449492.jpg",0.53062825106217,0,1,7.39979739197625,36.18,4.95681349255749,0.609765571620894,2.46900789792176,"1920 x 1080px",1.59913701799709,"IPS, LCD, LED-backlit",0,1,2.77258872223978,7.88833450073865,1,6.23832462503951,"6 x 2.2GHz",2.484906649788,0,1,1,0,1,1,0,0,1,2,0
"955","Huawei MateBook D 14""","Intel Core i7-8550U 1.8GHz","Integrated",0.22314355131421,"https://images.versus.io/objects/huawei-matebook-d-14-intel-core-i7-8550u-1-8ghz-8gb-ram-512gb-ssd.front.master.1576684641045.jpg",0.385262400790645,1,1,7.02807110441679,32.3,4.70106370941726,0.457424847038875,3.18747549010185,"1920 x 1080px",1.62062427222695,"IPS, LCD, LED-backlit",1,0,2.07944154167984,7.78322401633604,1,6.23832462503951,"4 x 1.8GHz",2.07944154167984,0,1,1,0,1,1,0,0,1,2,0
"956","Infinix InBook X1 14""","Intel Core i3-1005G1 1.2GHz","Integrated",-1.39030238251743,"https://images.versus.io/objects/infinix-inbook-x1-14-intel-core-i3-1005g1-1-2ghz-8gb-ram-256gb-ssd.front.master.1687349417923.jpg",0.392042087776024,0,1,7.03155837985099,32.3,4.67974358271904,0.470003629245736,3.18747549010185,"1920 x 1080px",1.62062427222695,"IPS",0,0,2.07944154167984,8.07090608878782,1,5.54517744447956,"2 x 1.2GHz",1.38629436111989,1,1,1,0,1,1,0,0,0,1,0
"958","Lenovo Thinkpad Yoga 460 14""","Intel Core i7-6600U 2.6GHz","Integrated",-1.8773173575897,"https://images.versus.io/objects/lenovo-thinkpad-yoga-460-14-intel-core-i7-6600u-2-6ghz-8gb-256gb.front.master.1576684641045.jpg",0.570979546585738,0,1,7.31238870800778,33.78,4.85798312059645,0.631271776841858,3.18747549010185,"1920 x 1080px",1.62062427222695,"IPS, LCD, LED-backlit",1,1,2.07944154167984,7.37775890822787,1,5.54517744447956,"2 x 2.6GHz",1.38629436111989,0,1,1,0,1,1,0,1,1,2,0
"960","Asus ROG GX700 17.3""","Intel Core i7 6820HK 2.7GHz","Integrated",0.53062825106217,"https://images.versus.io/objects/asus-rog-gx700-17-3-intel-core-i7-6820hk-2-7ghz-64gb-1tb.front.master.1576684641045.jpg",1.27536280041261,0,1,8.37265816598218,42.67,5.54346462061408,1.19392246847243,1.33341666406266,"3840 x 2160px",1.71502745296964,"IPS, LCD, LED-backlit",0,1,4.15888308335967,7.66528471847135,1,6.90775527898214,"4 x 2.7GHz",2.07944154167984,0,1,1,0,1,1,0,0,0,1,0
"962","Asus X301A 13.3""","Intel Core i3-2350M 2.3GHz","Integrated",-0.287682072451781,"https://images.versus.io/objects/asus-x301a-13-3-intel-core-i3-2350m-2-3ghz-4gb-500gb.front.master.1576684641045.jpg",0.53062825106217,0,0,7.71609681411964,33.1,4.75394572960189,1.09861228866811,3.45514109697419,"1366 x 768px",1.56248982174286,"LED-backlit, LCD",0,0,1.38629436111989,7.37775890822787,0,6.21460809842219,"2 x 2.3GHz",1.38629436111989,0,1,1,0,1,1,0,0,0,1,0
